"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 32268.2708742536, 10212.9608993386, 32268.2708742536, 33845.9137200582, 125.629358346131, 361.844768229837, 125.629358346131
2, 29370.7273339061, 9222.32594199563, 32268.2708742536, 33845.9137200582, 117.197643632886, 342.054492088054, 125.629358346131
3, 27577.871342554, 8640.61193462839, 32268.2708742536, 33845.9137200582, 121.92904235829, 343.040775510087, 125.629358346131
4, 26798.9153765895, 8394.61668680307, 32268.2708742536, 33845.9137200582, 123.9792577101, 343.667937606626, 125.629358346131
5, 26515.1099649497, 8292.86259775831, 32268.2708742536, 33845.9137200582, 123.280865874875, 341.924902876564, 125.629358346131
6, 26039.6601654606, 8154.39343771417, 32268.2708742536, 33845.9137200582, 126.575714504408, 345.039577163589, 126.575714504408
7, 26988.9405587169, 8468.70714430811, 32268.2708742536, 33845.9137200582, 126.162379109884, 346.99577410455, 126.575714504408
8, 28304.2695359844, 8918.85876673868, 32268.2708742536, 33845.9137200582, 127.286281385773, 352.235305478837, 127.286281385773
9, 31171.9399563153, 9865.73738819703, 32268.2708742536, 33845.9137200582, 125.003889384275, 357.850584376824, 127.286281385773
10, 33871.4681831388, 10750.7456270986, 33871.4681831388, 35536.6696303967, 121.541469486797, 362.200577261143, 127.286281385773
11, 36671.7630323995, 11684.05510995, 36671.7630323995, 38488.1195658714, 122.599332583588, 373.754409423903, 127.286281385773
12, 39564.5429243488, 12654.2692391961, 39564.5429243488, 41538.9406074674, 125.634647429836, 389.192557983805, 127.286281385773
13, 41915.3714470396, 13404.6550384416, 41915.3714470396, 44006.6260947476, 116.302710566897, 387.181382786965, 127.286281385773
14, 44645.9619406095, 14289.5790929968, 44645.9619406095, 46877.0091650199, 109.988309748574, 391.5592590101, 127.286281385773
15, 44673.9093865466, 14285.1324199342, 44673.9093865466, 46902.2727395212, 106.376146081576, 387.015734475656, 127.286281385773
16, 45208.8151379494, 14474.2765959427, 45208.8151379494, 47469.3759086122, 109.991662765885, 394.311945991885, 127.286281385773
17, 45187.8809216124, 14442.6121493946, 45208.8151379494, 47469.3759086122, 103.781742577928, 386.123422607833, 127.286281385773
18, 45054.1906625145, 14377.5970088565, 45208.8151379494, 47469.3759086122, 100.253111509394, 380.876631506408, 127.286281385773
19, 44822.3122406196, 14359.5777928438, 45208.8151379494, 47469.3759086122, 116.194187507077, 400.434225008388, 127.286281385773
20, 42913.7298094961, 13735.0977065525, 45208.8151379494, 47469.3759086122, 118.787939440952, 394.84333685394, 127.286281385773
21, 43312.2970124147, 13842.9449365077, 45208.8151379494, 47469.3759086122, 111.866226803003, 387.676785084149, 127.286281385773
22, 41084.5243757486, 13100.9904369459, 45208.8151379494, 47469.3759086122, 111.641646217151, 377.396724027864, 127.286281385773
23, 37057.7466948803, 11733.666133394, 45208.8151379494, 47469.3759086122, 104.126537133651, 351.220505280766, 127.286281385773
24, 33825.9435615054, 10647.343470236, 45208.8151379494, 47469.3759086122, 102.247489497562, 337.026136810908, 127.286281385773
25, 30979.7118942799, 9663.70914129185, 45208.8151379494, 47469.3759086122, 94.2583072004985, 317.475984592278, 127.286281385773
26, 29190.6772592348, 9058.53829630372, 45208.8151379494, 47469.3759086122, 92.6524942263583, 310.023232263873, 127.286281385773
27, 27326.6022458529, 8466.38089035249, 45208.8151379494, 47469.3759086122, 97.5699060838541, 311.215687722153, 127.286281385773
28, 26270.4506819858, 8096.64753605373, 45208.8151379494, 47469.3759086122, 94.4881763947024, 304.477176057606, 127.286281385773
29, 25820.3497817476, 7955.40005114746, 45208.8151379494, 47469.3759086122, 95.9686645015029, 305.236617521457, 127.286281385773
30, 25335.4169897089, 7796.12816353755, 45208.8151379494, 47469.3759086122, 95.7235366436526, 303.71751094034, 127.286281385773
31, 26816.5772132746, 8324.23816783157, 45208.8151379494, 47469.3759086122, 103.90171343563, 317.942505740034, 127.286281385773
32, 28522.3535147774, 8899.74727662999, 45208.8151379494, 47469.3759086122, 103.215308094999, 321.766750942134, 127.286281385773
33, 32146.653279189, 10129.366731735, 45208.8151379494, 47469.3759086122, 108.872263155548, 340.01960748564, 127.286281385773
34, 34863.5669675685, 11044.8000165972, 45208.8151379494, 47469.3759086122, 110.899522342478, 351.898519056244, 127.286281385773
35, 38371.687235834, 12204.4868857896, 45208.8151379494, 47469.3759086122, 110.717046052913, 364.909303477129, 127.286281385773
36, 41372.3408202362, 13200.9718351543, 45208.8151379494, 47469.3759086122, 110.053626246135, 376.620553369607, 127.286281385773
37, 44270.9471181977, 14151.9208516625, 45208.8151379494, 47469.3759086122, 106.620016705661, 385.385771591608, 127.286281385773
38, 46890.9167419444, 15043.207647117, 46890.9167419444, 49244.8593176408, 111.022229848045, 404.020936252431, 127.286281385773
39, 49039.1838521331, 15756.9593959809, 49039.1838521331, 51508.4781593273, 109.931453452057, 413.870075449076, 127.286281385773
40, 50766.6446256775, 16317.4479052544, 50766.6446256775, 53324.5845055591, 106.364560534841, 418.727350754239, 127.286281385773
41, 51888.6441101971, 16661.0677782778, 51888.6441101971, 54497.9134197545, 99.6934767591317, 416.425252724174, 127.286281385773
42, 51494.1258139574, 16541.0284800035, 51888.6441101971, 54497.9134197545, 101.987579702487, 417.157820378308, 127.286281385773
43, 50198.5717519516, 16123.9996606936, 51888.6441101971, 54497.9134197545, 106.187272610239, 415.353964258727, 127.286281385773
44, 48652.1453035902, 15592.4819447199, 51888.6441101971, 54497.9134197545, 102.986606138271, 402.774699503284, 127.286281385773
45, 48239.1804951492, 15469.3999522416, 51888.6441101971, 54497.9134197545, 106.564099999008, 405.253713365866, 127.286281385773
46, 45572.8770858837, 14543.8660527388, 51888.6441101971, 54497.9134197545, 98.1492542018257, 380.660373991481, 127.286281385773
47, 41610.1383930003, 13227.1054332902, 51888.6441101971, 54497.9134197545, 99.3692773052983, 363.773825411898, 127.286281385773
