"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 1.00683286443691, 0, 1.02148616480383, 181991, sourcebus, 0, 0.960881516714028, 0, 1.0175096917966, s1x_1001577, x_1000663
2, 0, 1.01128421481351, 0, 1.02501463974767, 181991, sourcebus, 0, 0.968670356146574, 0, 1.02100107374141, s1x_1001577, x_1000663
3, 0, 1.01270478221956, 0, 1.02672861534517, 181991, sourcebus, 0, 0.967673688456208, 0, 1.0229199079813, s1x_1001577, x_1000663
4, 0, 1.01291413213912, 0, 1.0273533240678, 181991, sourcebus, 0, 0.967394370437907, 0, 1.02368763846481, s1x_1001577, x_1000663
5, 0, 1.0138309791695, 0, 1.02772027401292, 181991, sourcebus, 0, 0.96785606646458, 0, 1.02404873711105, s1x_1001577, x_1000663
6, 0, 1.01372217063929, 0, 1.0279884271404, 181991, sourcebus, 0, 0.96689381235315, 0, 1.02381034841055, s1x_1001577, x_1000663
7, 0, 1.0128072931401, 0, 1.02715512545277, 181991, sourcebus, 0, 0.966226774650777, 0, 1.02310072712405, s1x_1001577, x_1000663
8, 0, 1.00992460259541, 0, 1.02593533420715, 181991, sourcebus, 0, 0.965269246448825, 0, 1.02192880664649, s1x_1001577, x_1000663
9, 0, 1.0068091173822, 0, 1.02317097717155, 181991, ckt7, 0, 0.963961431627422, 0, 1.01897629326216, s1x_1001577, x_1000663
10, 0, 1.00491607836524, 0, 1.01961550910716, 181991, sourcebus, 0, 0.962824014119798, 0, 1.01468471629667, s1x_1001577, x_1000663
11, 0, 1.00149179205159, 0, 1.01666273512106, 181991, sourcebus, 0, 0.959421861818621, 0, 1.01189803056526, s1x_1001577, x_1000663
12, 0, 0.997719448055785, 0, 1.01342021080507, 181991, sourcebus, 0, 0.954943877849415, 0, 1.00825615061674, s1x_1001577, x_1000663
13, 0, 0.995745218140912, 0, 1.01104542354247, 181991, sourcebus, 0, 0.957413828631363, 0, 1.00631822941899, s1x_1001577, x_1002020
