hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 1223.48, 262.545, 1119.65, 205.918, 1184.99, 242.289
2, 0.00000, 1153.47, 229.468, 1063.03, 179.263, 1114.44, 208.897
3, 0.00000, 1176.15, 241.053, 1091.19, 193.688, 1142.44, 223.261
4, 0.00000, 1197.37, 252.097, 1104.05, 200.541, 1168.31, 236.679
5, 0.00000, 1172.9, 239.666, 1100.22, 198.664, 1151.32, 228.096
6, 0.00000, 1204.59, 255.972, 1130.19, 213.841, 1194.92, 250.473
7, 0.00000, 1213.16, 259.923, 1119.44, 208.085, 1193.46, 249.372
8, 0.00000, 1269.62, 288.095, 1138.7, 217.432, 1207.68, 256.055
9, 0.00000, 1264.37, 284.1, 1133.56, 214.055, 1208.02, 255.053
10, 0.00000, 1247.73, 275.236, 1113.25, 202.613, 1193.45, 246.538
11, 0.00000, 1257.45, 278.161, 1114.89, 202.378, 1219.87, 258.17
12, 0.00000, 1301.94, 298.474, 1138.2, 212.121, 1227.3, 259.916
13, 0.00000, 1237.41, 266.062, 1069.53, 178.121, 1167.71, 229.857
14, 0.00000, 1183.52, 238.832, 1022.63, 154.433, 1124.37, 207.535
15, 0.00000, 1159.81, 227.501, 977.6, 132.544, 1099.66, 195.57
16, 0.00000, 1169.15, 231.118, 1017.42, 151.776, 1127.72, 208.868
17, 0.00000, 1124.58, 210.004, 954.55, 121.268, 1072.25, 182.19
18, 0.00000, 1068.9, 182.886, 915.729, 102.249, 1035.26, 164.345
19, 0.00000, 1182.4, 237.178, 1057.66, 170.55, 1172.26, 230.429
20, 0.00000, 1205.36, 249.218, 1069.84, 177.14, 1198.75, 244.28
21, 0.00000, 1153.66, 224.062, 1027.76, 157.036, 1132.75, 212.304
22, 0.00000, 1156.36, 226.566, 1022.61, 155.145, 1121.41, 207.88
23, 0.00000, 1087.44, 194.892, 955.101, 123.607, 1062.43, 181.027
24, 0.00000, 1062.66, 183.868, 932.745, 113.397, 1024.38, 163.193
25, 0.00000, 983.997, 145.869, 859.932, 78.0522, 934.46, 119.35
26, 0.00000, 946.246, 127.378, 847.942, 72.3441, 913.362, 109.073
27, 0.00000, 997.376, 153.235, 902.578, 100.241, 960.425, 133.096
28, 0.00000, 955.071, 132.315, 865.078, 81.435, 917.32, 111.61
29, 0.00000, 960.131, 134.791, 882.756, 90.4689, 940.609, 123.56
30, 0.00000, 955.304, 132.587, 890.964, 94.7259, 942.889, 124.956
31, 0.00000, 1044.89, 177.047, 953.226, 125.468, 1011.08, 158.571
32, 0.00000, 1076.19, 192.854, 960.971, 129.432, 1028.87, 167.173
33, 0.00000, 1134.35, 220.39, 1006.89, 151.015, 1102.96, 202.896
34, 0.00000, 1170.59, 237.327, 1031.22, 162.242, 1134.13, 217.245
35, 0.00000, 1162.93, 231.729, 1024.06, 157.273, 1133, 214.947
36, 0.00000, 1169.29, 233.405, 1022.68, 155.604, 1130.78, 212.603
37, 0.00000, 1155.97, 225.83, 987.808, 137.608, 1100.68, 196.634
38, 0.00000, 1190.77, 241.145, 1031.91, 157.982, 1152.59, 220.357
39, 0.00000, 1199.88, 244.462, 1017.28, 150.331, 1148.28, 217.084
40, 0.00000, 1177.39, 233.232, 984.068, 133.55, 1103.82, 194.714
41, 0.00000, 1091.6, 191.447, 920.144, 102.789, 1047.25, 167.315
42, 0.00000, 1122.85, 206.596, 942.989, 113.626, 1062.95, 174.79
43, 0.00000, 1149.82, 219.903, 981.566, 132.314, 1100.87, 193.702
44, 0.00000, 1111.43, 202.232, 951.047, 118.04, 1062.8, 176.275
45, 0.00000, 1142.35, 217.022, 980.495, 132.322, 1098.6, 193.672
46, 0.00000, 1050.55, 173.915, 906.824, 97.8611, 1016.97, 155.539
47, 0.00000, 1064.35, 182.146, 919.69, 105.052, 1003.53, 150.237
48, 0.00000, 1032.12, 167.682, 895.421, 93.9556, 982.745, 141.12
49, 0.00000, 965.048, 135.532, 840.409, 67.4934, 914.971, 108.48
50, 0.00000, 934.838, 121.118, 818.314, 56.8576, 888.975, 96.1305
51, 0.00000, 913.934, 111.23, 802.17, 49.1844, 866.222, 85.0965
52, 0.00000, 891.523, 100.048, 790.2, 43.2875, 852.194, 78.3269
53, 0.00000, 853.25, 80.868, 761.448, 28.9593, 826.593, 65.4573
54, 0.00000, 874.597, 91.9208, 773.322, 34.8986, 835.406, 70.0218
55, 0.00000, 890.896, 99.8241, 808.504, 52.7719, 878.776, 91.828
56, 0.00000, 971.378, 140.071, 840.933, 68.7146, 909.707, 106.876
57, 0.00000, 1020.46, 163.779, 873.784, 84.7232, 975.938, 139.363
58, 0.00000, 1077.57, 190.961, 908.948, 101.272, 1022.68, 161.292
59, 0.00000, 1136.76, 218.131, 973.353, 131.913, 1066.26, 180.964
60, 0.00000, 1134.18, 215.343, 971.439, 129.988, 1081.14, 186.948
61, 0.00000, 1179.98, 236.281, 1004.67, 145.17, 1107.75, 198.564
62, 0.00000, 1160.68, 225.734, 964.936, 124.999, 1096.2, 191.518
63, 0.00000, 1167.78, 228.463, 964.394, 124.124, 1083.31, 184.638
64, 0.00000, 1162.73, 225.092, 952.563, 118.068, 1072.75, 178.865
65, 0.00000, 1168.25, 227.558, 948.303, 115.608, 1083.86, 183.675
66, 0.00000, 1119.99, 205.017, 918.932, 101.717, 1047.41, 166.783
67, 0.00000, 1178.89, 232.985, 997.613, 139.269, 1112.91, 198.336
68, 0.00000, 1166.66, 227.864, 993.106, 138.087, 1098.7, 192.552
69, 0.00000, 1170.96, 229.972, 1004.17, 143.563, 1097.88, 192.428
70, 0.00000, 1083.24, 189.329, 918.557, 103.253, 998.966, 145.997
71, 0.00000, 1088.15, 192.875, 932.615, 110.568, 1016.64, 155.376
72, 0.00000, 1024.49, 162.841, 876.992, 84.265, 961.514, 129.542
73, 0.00000, 969.97, 136.938, 834, 63.8653, 926.726, 113.457
74, 0.00000, 961.52, 133.452, 833.456, 63.8873, 916.871, 109.096
75, 0.00000, 946.049, 126.447, 821.956, 58.4774, 890.544, 96.3988
76, 0.00000, 904.954, 106.25, 783.7, 39.663, 858.138, 80.6144
77, 0.00000, 916.111, 111.835, 800.067, 47.7375, 881.972, 92.6086
78, 0.00000, 932.72, 120.795, 808.823, 52.2847, 885.584, 94.8044
79, 0.00000, 956.944, 133.04, 828.971, 62.7283, 910.33, 107.417
80, 0.00000, 963.364, 136.043, 838.081, 66.9014, 918.913, 111.371
81, 0.00000, 977.049, 141.915, 828.621, 61.629, 919.697, 110.887
82, 0.00000, 1001.62, 152.61, 855.484, 74.1628, 955.882, 127.585
83, 0.00000, 1088.84, 193.817, 915.106, 102.197, 1033.93, 164.277
84, 0.00000, 1084.92, 191.531, 913.924, 101.582, 1038.12, 166.365
85, 0.00000, 1064.31, 182.182, 879.65, 85.1035, 1000.66, 148.196
86, 0.00000, 1046.49, 173.422, 887.946, 89.5676, 1001.13, 148.836
87, 0.00000, 1039.78, 169.82, 894.45, 92.618, 992.413, 144.186
88, 0.00000, 1092.6, 195.972, 936.11, 112.896, 1041.84, 168.53
89, 0.00000, 1068.4, 184.111, 931.15, 110.603, 1054.34, 174.806
90, 0.00000, 1117.59, 208.082, 980.541, 134.807, 1076.69, 185.965
91, 0.00000, 1159.61, 228.958, 1012.54, 150.702, 1123.41, 209.281
92, 0.00000, 1161.1, 229.868, 1020.69, 154.715, 1123.66, 209.389
93, 0.00000, 1171.61, 235.146, 1028.36, 158.648, 1116.98, 206.012
94, 0.00000, 1159.19, 229.219, 1026.66, 158.064, 1117.55, 206.861
95, 0.00000, 1109.86, 205.712, 1005.55, 148.317, 1075.4, 186.831
96, 0.00000, 1127.72, 215.169, 1001.39, 146.68, 1077.92, 188.58
97, 0.00000, 1095.97, 200.795, 969.635, 131.704, 1043.79, 172.553
98, 0.00000, 1019.15, 163.243, 898.193, 96.6573, 983.375, 143.382
99, 0.00000, 1047.79, 177.588, 950.512, 123.027, 1010.56, 157.052
100, 0.00000, 1007.07, 157.846, 911.624, 104.315, 967.385, 136.251
101, 0.00000, 1022.29, 165.298, 934.33, 115.697, 998.279, 151.736
102, 0.00000, 1103.3, 206.126, 1003.23, 150.443, 1072.83, 189.504
103, 0.00000, 1143.1, 225.922, 1047.94, 172.597, 1122.98, 214.617
104, 0.00000, 1279.98, 292.989, 1172.42, 233.519, 1238.77, 271.153
105, 0.00000, 1264.15, 284.493, 1137.97, 215.871, 1216.5, 259.498
106, 0.00000, 1325.95, 313.643, 1184.07, 237.29, 1272.77, 285.865
107, 0.00000, 1355.52, 326.801, 1223.24, 255.824, 1327.01, 311.354
108, 0.00000, 1358.69, 328.153, 1222.07, 255.125, 1306.51, 301.648
109, 0.00000, 1395.2, 343.986, 1251.38, 268.058, 1362.4, 327.08
110, 0.00000, 1381.12, 335.965, 1234.78, 258.22, 1331.07, 309.829
111, 0.00000, 1413.68, 350.152, 1242.5, 260.197, 1345.66, 314.681
112, 0.00000, 1455.84, 367.59, 1278.29, 275.229, 1385.51, 331.479
113, 0.00000, 1440.88, 360.635, 1282.9, 277.792, 1401.84, 339.837
114, 0.00000, 1438.91, 359.365, 1284.44, 278.616, 1399.74, 338.489
115, 0.00000, 1455.53, 370.919, 1319.57, 299.076, 1423.27, 353.909
116, 0.00000, 1411.56, 349.973, 1279.96, 280.239, 1384.23, 335.447
117, 0.00000, 1349.27, 319.741, 1232.02, 257.307, 1284.28, 286.574
118, 0.00000, 1324.29, 308.381, 1211.69, 247.825, 1289.64, 290.282
119, 0.00000, 1306.85, 301.564, 1184.8, 235.995, 1241.11, 267.855
120, 0.00000, 1247.2, 273.882, 1134.28, 212.734, 1203.4, 250.892
121, 0.00000, 1219.04, 261.052, 1102.63, 197.573, 1165.54, 232.941
122, 0.00000, 1140.5, 222.928, 1036.7, 165.648, 1095.4, 198.996
123, 0.00000, 1131.69, 219.404, 1036.85, 166.596, 1086.97, 195.563
124, 0.00000, 1073.07, 190.704, 985.526, 141.387, 1035.24, 170.261
125, 0.00000, 1096.58, 202.84, 991.516, 144.44, 1044.67, 175.048
126, 0.00000, 1111.02, 210.262, 1017.82, 157.874, 1079.79, 193.281
127, 0.00000, 1170.18, 239.438, 1082, 189.577, 1135.13, 220.537
128, 0.00000, 1176.15, 242.146, 1064.59, 180.351, 1151.29, 228.417
129, 0.00000, 1326.89, 315.112, 1191.36, 241.678, 1272.1, 286.672
130, 0.00000, 1287.77, 293.729, 1168.46, 228.826, 1254.3, 275.711
131, 0.00000, 1388.55, 340.549, 1239.84, 261.245, 1340.67, 315.149
132, 0.00000, 1378.31, 333.124, 1213.46, 246.618, 1319.43, 302.7
133, 0.00000, 1377.74, 330.495, 1237.99, 256.655, 1334.51, 307.58
134, 0.00000, 1392.39, 335.676, 1212.06, 242.383, 1323.01, 299.779
135, 0.00000, 1386.79, 330.811, 1222.3, 245.729, 1334.6, 303.775
136, 0.00000, 1297.88, 288.291, 1149.44, 210.914, 1241.71, 259.419
137, 0.00000, 1350.04, 312.564, 1176.95, 223.83, 1273.72, 274.09
138, 0.00000, 1391.1, 332.015, 1211.51, 239.949, 1335.95, 303.039
