hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 1251.33, -167.889, 1138.43, -169.579, 1209.5, -168.444
2, 0.00000, 1176.07, -168.749, 1078.04, -170.428, 1133.85, -169.383
3, 0.00000, 1200.6, -168.418, 1108.25, -169.935, 1164.05, -168.942
4, 0.00000, 1223.62, -168.11, 1122.12, -169.705, 1192.04, -168.548
5, 0.00000, 1197.14, -168.451, 1118.01, -169.764, 1173.7, -168.794
6, 0.00000, 1231.49, -168.003, 1150.24, -169.286, 1220.89, -168.161
7, 0.00000, 1240.7, -167.907, 1138.61, -169.47, 1219.23, -168.198
8, 0.00000, 1301.89, -167.215, 1159.27, -169.19, 1234.52, -168.029
9, 0.00000, 1295.89, -167.336, 1153.59, -169.306, 1234.65, -168.078
10, 0.00000, 1277.73, -167.56, 1131.54, -169.685, 1218.65, -168.328
11, 0.00000, 1287.85, -167.526, 1133.11, -169.712, 1246.89, -168.05
12, 0.00000, 1335.72, -167.088, 1157.8, -169.443, 1254.52, -168.043
13, 0.00000, 1265.69, -167.865, 1084.26, -170.545, 1190.12, -168.864
14, 0.00000, 1207.38, -168.591, 1034.22, -171.412, 1143.37, -169.542
15, 0.00000, 1181.92, -168.902, 986.544, -172.279, 1116.91, -169.916
16, 0.00000, 1191.78, -168.818, 1028.68, -171.515, 1146.9, -169.507
17, 0.00000, 1144.02, -169.422, 962.222, -172.76, 1087.62, -170.357
18, 0.00000, 1084.43, -170.291, 921.42, -173.629, 1048.23, -170.98
19, 0.00000, 1205.95, -168.658, 1071.32, -170.84, 1194.7, -168.879
20, 0.00000, 1230.86, -168.318, 1084.41, -170.598, 1223.39, -168.482
21, 0.00000, 1175.21, -169.009, 1039.69, -171.313, 1152.48, -169.385
22, 0.00000, 1178.35, -168.914, 1034.32, -171.373, 1140.51, -169.498
23, 0.00000, 1104.77, -169.839, 963.066, -172.626, 1077.74, -170.33
24, 0.00000, 1078.45, -170.184, 939.613, -173.068, 1037.3, -170.948
25, 0.00000, 994.75, -171.568, 863.467, -174.814, 942.05, -172.722
26, 0.00000, 954.781, -172.333, 851.022, -175.123, 919.852, -173.19
27, 0.00000, 1009.08, -171.265, 908.127, -173.663, 969.604, -172.11
28, 0.00000, 964.193, -172.113, 868.902, -174.622, 924.085, -173.063
29, 0.00000, 969.547, -172.009, 887.38, -174.148, 948.69, -172.516
30, 0.00000, 964.461, -172.098, 895.986, -173.931, 951.133, -172.451
31, 0.00000, 1059.78, -170.383, 961.448, -172.502, 1023.44, -171.087
32, 0.00000, 1093.34, -169.84, 969.648, -172.329, 1042.37, -170.771
33, 0.00000, 1155.56, -169.005, 1018.15, -171.47, 1121.46, -169.577
34, 0.00000, 1194.41, -168.539, 1043.9, -171.059, 1154.74, -169.156
35, 0.00000, 1185.79, -168.731, 1036.07, -171.269, 1153.21, -169.258
36, 0.00000, 1192.36, -168.711, 1034.45, -171.349, 1150.6, -169.352
37, 0.00000, 1177.83, -168.946, 997.347, -172.069, 1118.1, -169.871
38, 0.00000, 1214.94, -168.552, 1043.93, -171.296, 1173.47, -169.177
39, 0.00000, 1224.53, -168.484, 1028.33, -171.594, 1168.62, -169.294
40, 0.00000, 1200.27, -168.795, 993.089, -172.271, 1120.86, -169.996
41, 0.00000, 1108.26, -170.053, 925.867, -173.626, 1060.53, -170.923
42, 0.00000, 1141.69, -169.575, 949.81, -173.129, 1077.22, -170.662
43, 0.00000, 1170.66, -169.173, 990.444, -172.323, 1117.78, -170.021
44, 0.00000, 1129.68, -169.687, 958.344, -172.925, 1077.32, -170.583
45, 0.00000, 1162.78, -169.243, 989.383, -172.314, 1115.54, -170.002
46, 0.00000, 1064.85, -170.6, 912.089, -173.841, 1028.8, -171.304
47, 0.00000, 1079.82, -170.289, 925.67, -173.484, 1014.71, -171.486
48, 0.00000, 1045.65, -170.772, 900.337, -174.01, 992.825, -171.828
49, 0.00000, 974.519, -172.006, 843.115, -175.408, 921.379, -173.239
50, 0.00000, 942.652, -172.618, 820.287, -176.025, 894.157, -173.828
51, 0.00000, 920.678, -173.061, 803.676, -176.491, 870.392, -174.389
52, 0.00000, 897.119, -173.597, 791.385, -176.864, 855.786, -174.749
53, 0.00000, 857.073, -174.586, 761.998, -177.822, 829.18, -175.472
54, 0.00000, 879.414, -174, 774.109, -177.416, 838.336, -175.209
55, 0.00000, 896.471, -173.607, 810.225, -176.266, 883.561, -174.035
56, 0.00000, 981.425, -171.795, 843.736, -175.329, 915.964, -173.299
57, 0.00000, 1033.52, -170.882, 877.881, -174.462, 985.839, -171.873
58, 0.00000, 1094.36, -169.951, 914.572, -173.643, 1035.33, -171.037
59, 0.00000, 1157.5, -169.138, 982.251, -172.282, 1081.51, -170.368
60, 0.00000, 1154.44, -169.249, 980.097, -172.379, 1097.19, -170.19
61, 0.00000, 1203.4, -168.677, 1015.11, -171.778, 1125.4, -169.838
62, 0.00000, 1182.43, -168.994, 972.999, -172.619, 1112.81, -170.09
63, 0.00000, 1189.92, -168.931, 972.349, -172.666, 1098.93, -170.327
64, 0.00000, 1184.31, -169.044, 959.852, -172.934, 1087.56, -170.534
65, 0.00000, 1190.21, -168.978, 955.324, -173.049, 1099.32, -170.382
66, 0.00000, 1138.6, -169.627, 924.545, -173.684, 1060.6, -170.953
67, 0.00000, 1201.69, -168.821, 1007.29, -172.053, 1130.44, -169.895
68, 0.00000, 1188.71, -168.949, 1002.66, -172.084, 1115.44, -170.06
69, 0.00000, 1193.33, -168.889, 1014.38, -171.864, 1114.62, -170.059
70, 0.00000, 1099.66, -170.086, 924.342, -173.586, 1009.58, -171.685
71, 0.00000, 1105.11, -169.949, 939.146, -173.239, 1028.44, -171.311
72, 0.00000, 1037.35, -170.968, 881.031, -174.512, 970.201, -172.327
73, 0.00000, 979.589, -171.964, 836.442, -175.621, 933.646, -173.02
74, 0.00000, 970.737, -172.098, 835.901, -175.617, 923.338, -173.214
75, 0.00000, 954.462, -172.387, 824.033, -175.931, 895.746, -173.822
76, 0.00000, 911.17, -173.304, 784.703, -177.103, 861.916, -174.633
77, 0.00000, 922.912, -173.04, 801.49, -176.585, 886.821, -174.006
78, 0.00000, 940.51, -172.621, 810.512, -176.301, 890.644, -173.89
79, 0.00000, 966.148, -172.085, 831.341, -175.673, 916.646, -173.27
80, 0.00000, 972.922, -171.962, 840.747, -175.436, 925.637, -173.09
81, 0.00000, 987.302, -171.736, 830.909, -175.746, 926.357, -173.125
82, 0.00000, 1013.18, -171.337, 858.693, -175.045, 964.359, -172.397
83, 0.00000, 1105.96, -169.907, 920.795, -173.628, 1046.9, -170.972
84, 0.00000, 1101.7, -169.988, 919.552, -173.658, 1051.37, -170.895
85, 0.00000, 1079.79, -170.287, 883.757, -174.474, 1011.57, -171.576
86, 0.00000, 1060.76, -170.591, 892.452, -174.24, 1012.13, -171.544
87, 0.00000, 1053.56, -170.724, 899.233, -174.088, 1002.83, -171.733
88, 0.00000, 1110.04, -169.831, 942.893, -173.123, 1055.38, -170.811
89, 0.00000, 1084.14, -170.223, 937.696, -173.226, 1068.73, -170.586
90, 0.00000, 1136.79, -169.453, 989.765, -172.172, 1092.63, -170.201
91, 0.00000, 1182, -168.831, 1023.69, -171.534, 1142.74, -169.447
92, 0.00000, 1183.63, -168.802, 1032.35, -171.381, 1143, -169.444
93, 0.00000, 1194.98, -168.651, 1040.53, -171.23, 1135.82, -169.55
94, 0.00000, 1181.64, -168.815, 1038.76, -171.247, 1136.53, -169.513
95, 0.00000, 1128.76, -169.499, 1016.43, -171.609, 1091.51, -170.144
96, 0.00000, 1148.06, -169.198, 1012.07, -171.667, 1094.29, -170.077
97, 0.00000, 1114.21, -169.618, 978.539, -172.265, 1057.96, -170.613
98, 0.00000, 1032.14, -170.9, 903.379, -173.858, 993.773, -171.704
99, 0.00000, 1062.73, -170.38, 958.441, -172.625, 1022.69, -171.166
100, 0.00000, 1019.36, -171.092, 917.573, -173.472, 976.933, -171.983
101, 0.00000, 1035.57, -170.815, 941.466, -172.941, 1009.75, -171.357
102, 0.00000, 1122.39, -169.418, 1014.45, -171.472, 1089.43, -169.983
103, 0.00000, 1165.21, -168.82, 1062.06, -170.647, 1143.3, -169.18
104, 0.00000, 1313.09, -167.107, 1195.45, -168.735, 1268.1, -167.653
105, 0.00000, 1295.76, -167.317, 1158.26, -169.259, 1243.87, -167.958
106, 0.00000, 1362.54, -166.692, 1207.61, -168.668, 1304.48, -167.341
107, 0.00000, 1394.36, -166.445, 1249.7, -168.188, 1363.04, -166.796
108, 0.00000, 1397.75, -166.422, 1248.42, -168.208, 1340.88, -166.999
109, 0.00000, 1436.98, -166.15, 1279.77, -167.909, 1401.12, -166.5
110, 0.00000, 1421.4, -166.328, 1261.49, -168.188, 1366.66, -166.897
111, 0.00000, 1456.4, -166.088, 1269.45, -168.172, 1381.96, -166.838
112, 0.00000, 1501.53, -165.829, 1307.59, -167.849, 1424.61, -166.545
113, 0.00000, 1485.33, -165.948, 1312.63, -167.782, 1442.45, -166.373
114, 0.00000, 1483.11, -165.977, 1314.31, -167.761, 1440.09, -166.406
115, 0.00000, 1502.05, -165.703, 1353.04, -167.23, 1466.62, -166.036
116, 0.00000, 1454.3, -166.075, 1310.28, -167.65, 1424.3, -166.378
117, 0.00000, 1386.64, -166.668, 1258.6, -168.203, 1315.86, -167.421
118, 0.00000, 1359.72, -166.891, 1236.77, -168.441, 1321.9, -167.315
119, 0.00000, 1341.19, -167.006, 1208.08, -168.735, 1269.68, -167.821
120, 0.00000, 1276.92, -167.615, 1154.05, -169.378, 1229.28, -168.223
121, 0.00000, 1246.68, -167.913, 1120.19, -169.841, 1188.59, -168.698
