Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    59.6932,   170.91,     54.446,    52.99,    59.0319,   -63.68,          0,     0.00, 1.79438E-009,     0.00,    59.6932,    -9.09,     54.446,  -127.01,    59.0319,   116.32,          0,     0.00, 1.79438E-009,   180.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.HVMV_SUB_CONNECTOR,    550.756,   -37.99,    531.043,  -159.02,    499.286,    87.55,          0,     0.00,    50.5757,  -143.13,    550.756,   142.01,    531.043,    20.98,    499.286,   -92.45,          0,     0.00,    50.5757,    36.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5502549-1,    1.96452,   177.99,          0,     0.00,          0,     0.00,          0,     0.00,    1.96452,   177.99,    1.96467,    -2.02,          0,     0.00,          0,     0.00,          0,     0.00,    1.96467,    -2.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259988-1,    1.44023,    65.56,          0,     0.00,          0,     0.00,          0,     0.00,    1.44023,    65.56,    1.44072,  -114.51,          0,     0.00,          0,     0.00,          0,     0.00,    1.44072,  -114.51,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077796-1,    1.68384,   179.79,          0,     0.00,          0,     0.00,          0,     0.00,    1.68384,   179.79,    1.68389,    -0.21,          0,     0.00,          0,     0.00,          0,     0.00,    1.68389,    -0.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835135-2,    16.6154,   178.30,          0,     0.00,          0,     0.00,          0,     0.00,    16.6154,   178.30,    16.6156,    -1.70,          0,     0.00,          0,     0.00,          0,     0.00,    16.6156,    -1.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5896826-1,    0.82866,  -171.20,          0,     0.00,          0,     0.00,          0,     0.00,    0.82866,  -171.20,   0.829603,     8.56,          0,     0.00,          0,     0.00,          0,     0.00,   0.829603,     8.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714038-1,     2.1926,  -174.98,          0,     0.00,          0,     0.00,          0,     0.00,     2.1926,  -174.98,    2.19304,     4.97,          0,     0.00,          0,     0.00,          0,     0.00,    2.19304,     4.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653457-1,    20.0683,   -59.67,    42.1448,   178.04,    15.8605,    64.80,          0,     0.00,    25.2806,  -176.53,     20.069,   120.32,    42.1455,    -1.96,    15.8609,  -115.21,          0,     0.00,    25.2805,     3.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835173-1,    28.5816,   -59.05,    63.5181,   178.21,    47.8482,    64.23,          0,     0.00,    34.7295,   143.69,     28.582,   120.95,    63.5185,    -1.79,    47.8484,  -115.77,          0,     0.00,    34.7295,   -36.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6321415-1,    1.41608,  -173.53,          0,     0.00,          0,     0.00,          0,     0.00,    1.41608,  -173.53,    1.41649,     6.41,          0,     0.00,          0,     0.00,          0,     0.00,    1.41649,     6.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5565092-1,     2.1547,    64.72,          0,     0.00,          0,     0.00,          0,     0.00,     2.1547,    64.72,    2.15472,  -115.28,          0,     0.00,          0,     0.00,          0,     0.00,    2.15472,  -115.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6073648-1,    3.07053,   -55.64,          0,     0.00,          0,     0.00,          0,     0.00,    3.07053,   -55.64,    3.07056,   124.36,          0,     0.00,          0,     0.00,          0,     0.00,    3.07056,   124.36,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774457-1,    30.1302,   -59.77,     24.056,   178.25,    22.8132,    64.75,          0,     0.00,    4.74245,   -79.63,    30.1305,   120.22,    24.0564,    -1.75,    22.8134,  -115.25,          0,     0.00,    4.74244,   100.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534966-3,    11.1201,   -59.25,          0,     0.00,          0,     0.00,          0,     0.00,    11.1201,   -59.25,    11.1202,   120.74,          0,     0.00,          0,     0.00,          0,     0.00,    11.1202,   120.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5859996-1,    2.80922,   178.46,          0,     0.00,          0,     0.00,          0,     0.00,    2.80922,   178.46,    2.80925,    -1.54,          0,     0.00,          0,     0.00,          0,     0.00,    2.80925,    -1.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138610-2,    119.298,   -59.30,    91.0591,   178.46,    103.478,    64.57,          0,     0.00,    15.7867,   -25.03,    119.298,   120.70,    91.0594,    -1.54,    103.478,  -115.43,          0,     0.00,    15.7867,   154.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6258435-3,    2.53451,   -59.23,          0,     0.00,          0,     0.00,          0,     0.00,    2.53451,   -59.23,    2.53494,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,    2.53494,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804790-1,     1.4709,    66.50,          0,     0.00,          0,     0.00,          0,     0.00,     1.4709,    66.50,    1.47177,  -113.63,          0,     0.00,          0,     0.00,          0,     0.00,    1.47177,  -113.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6900591-14,    4.58274,   -59.59,          0,     0.00,          0,     0.00,          0,     0.00,    4.58274,   -59.59,    4.58303,   120.39,          0,     0.00,          0,     0.00,          0,     0.00,    4.58303,   120.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6409873-1,    10.5567,  -174.97,          0,     0.00,          0,     0.00,          0,     0.00,    10.5567,  -174.97,     10.557,     5.02,          0,     0.00,          0,     0.00,          0,     0.00,     10.557,     5.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6014135-1,    9.65826,   -55.68,          0,     0.00,          0,     0.00,          0,     0.00,    9.65826,   -55.68,    9.65827,   124.32,          0,     0.00,          0,     0.00,          0,     0.00,    9.65827,   124.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077784-1,    58.0275,   -59.72,    69.6876,   178.13,     42.405,    64.80,          0,     0.00,     24.257,  -157.01,     58.028,   120.28,    69.6881,    -1.87,    42.4053,  -115.21,          0,     0.00,     24.257,    22.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744338-1,    27.2828,  -176.89,          0,     0.00,          0,     0.00,          0,     0.00,    27.2828,  -176.89,     27.283,     3.11,          0,     0.00,          0,     0.00,          0,     0.00,     27.283,     3.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6991381-4,    5.10098,   -59.40,          0,     0.00,          0,     0.00,          0,     0.00,    5.10098,   -59.40,    5.10134,   120.58,          0,     0.00,          0,     0.00,          0,     0.00,    5.10134,   120.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774480-1,    31.8433,   179.81,          0,     0.00,          0,     0.00,          0,     0.00,    31.8433,   179.81,     31.844,    -0.19,          0,     0.00,          0,     0.00,          0,     0.00,     31.844,    -0.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5986938-3,    5.45491,   -59.43,          0,     0.00,          0,     0.00,          0,     0.00,    5.45491,   -59.43,    5.45495,   120.57,          0,     0.00,          0,     0.00,          0,     0.00,    5.45495,   120.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
