hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, VN, VNAngle, I1, IAngle1, I2, IAngle2, I3, IAngle3, IN, INAngle
1, 0.00000, 7343.6, -33.7721, 7340.5, -153.678, 7352.3, 86.2999, 0.542029, -157.409, 170.398, -45.8834, 155.089, -164.098, 164.507, 74.7442, 14.1403, -25.6245
2, 0.00000, 7367.98, -33.451, 7359.1, -153.338, 7375.94, 86.6707, 0.733798, -172.289, 159.619, -44.7024, 146.491, -162.91, 153.723, 76.054, 12.1434, -30.3603
3, 0.00000, 7380.45, -33.2375, 7372.64, -153.124, 7389.07, 86.8772, 0.713069, -168.476, 162.673, -44.82, 150.319, -163.189, 157.537, 75.8195, 11.4417, -28.1799
4, 0.00000, 7383.81, -33.1475, 7379.12, -153.016, 7395.77, 86.9548, 0.743234, -156.251, 165.716, -45.0371, 152.066, -163.311, 161.178, 75.5026, 12.7599, -22.4747
5, 0.00000, 7387.49, -33.1116, 7380.8, -152.994, 7397, 86.997, 0.702681, -163.946, 162.049, -44.6602, 151.475, -163.23, 158.672, 75.7908, 9.93157, -22.449
6, 0.00000, 7392.11, -33.0379, 7385.13, -152.957, 7397.56, 87.0535, 0.549441, -172.948, 166.595, -45.0346, 155.751, -163.671, 165.039, 75.2148, 10.5852, -11.3659
7, 0.00000, 7383.99, -33.1626, 7377.42, -153.054, 7392.61, 86.9407, 0.668774, -165.423, 168.025, -45.2555, 154.338, -163.584, 164.926, 75.1386, 13.0271, -15.804
8, 0.00000, 7372.01, -33.3362, 7366.61, -153.186, 7385.7, 86.7813, 0.853225, -157.28, 176.6, -46.121, 157.368, -163.996, 167.15, 74.8106, 17.6303, -32.1051
9, 0.00000, 7348.59, -33.6851, 7345.43, -153.506, 7366.38, 86.4322, 0.971773, -150.003, 176.346, -46.349, 157.049, -164.199, 167.606, 74.5102, 17.7334, -29.903
10, 0.00000, 7333.12, -33.9419, 7329.56, -153.892, 7336.85, 86.1101, 0.351008, -173.385, 174.241, -46.3815, 154.38, -164.207, 166.099, 74.4383, 18.1417, -26.6902
11, 0.00000, 7307.86, -34.2957, 7307.86, -154.194, 7318.75, 85.7586, 0.563146, -145.18, 176.228, -46.7692, 155.054, -164.482, 170.369, 73.809, 19.827, -18.4376
12, 0.00000, 7288.09, -34.6226, 7285.71, -154.576, 7291.95, 85.4193, 0.313961, -170.291, 183.274, -47.5347, 158.914, -165.133, 172.042, 73.4619, 22.0778, -30.0272
13, 0.00000, 7266.35, -34.91, 7269.07, -154.837, 7275.39, 85.11, 0.411013, -133.343, 174.185, -47.0447, 149.161, -164.292, 163.582, 73.9741, 22.888, -27.7054
14, 0.00000, 7244.56, -35.2141, 7250.41, -155.186, 7250.3, 84.7599, 0.262961, -93.638, 166.66, -46.623, 142.643, -163.774, 157.699, 74.3021, 22.1589, -24.471
15, 0.00000, 7243.07, -35.2203, 7250.89, -155.178, 7251.29, 84.7475, 0.374128, -94.8335, 163.179, -46.3181, 136.058, -162.899, 154.029, 74.6631, 25.2428, -22.0445
16, 0.00000, 7237.04, -35.3085, 7244.69, -155.223, 7249.74, 84.6834, 0.545985, -112.198, 164.678, -46.4906, 141.99, -163.707, 158.199, 74.1904, 21.385, -19.2604
17, 0.00000, 7239.44, -35.3017, 7244.76, -155.235, 7249.03, 84.6966, 0.415589, -117.952, 158.026, -45.8792, 132.816, -162.475, 150.036, 75.0534, 23.6314, -21.0203
18, 0.00000, 7243.52, -35.276, 7245.77, -155.241, 7248.27, 84.7269, 0.222982, -129.311, 149.711, -44.9852, 127.167, -161.612, 144.617, 75.7066, 21.71, -15.5154
19, 0.00000, 7249.07, -35.226, 7246.56, -155.256, 7244.73, 84.7765, 0.176996, 88.1896, 166.36, -46.5684, 147.839, -164.416, 164.905, 73.6558, 18.5136, -7.09149
20, 0.00000, 7263.59, -34.9992, 7261.69, -155.012, 7261.37, 85.008, 0.114576, 118.415, 169.456, -46.681, 149.332, -164.413, 168.479, 73.4901, 20.3818, -5.29134
21, 0.00000, 7259.61, -35.0832, 7255.71, -155.036, 7262.82, 84.9699, 0.348711, -177.244, 161.884, -46.0743, 143.292, -163.723, 158.682, 74.3545, 17.9882, -12.7006
22, 0.00000, 7280.5, -34.8153, 7271.76, -154.782, 7279.93, 85.2643, 0.460424, 156.348, 161.85, -45.9008, 142.237, -163.409, 156.665, 74.7624, 18.3927, -18.0107
23, 0.00000, 7312.22, -34.3439, 7302.69, -154.282, 7314.33, 85.7559, 0.57129, 169.249, 151.085, -44.5047, 131.878, -161.656, 147.347, 76.0862, 18.5335, -13.6888
24, 0.00000, 7335.57, -33.9569, 7328.76, -153.881, 7340.48, 86.1311, 0.54058, -177.094, 147.017, -43.7734, 128.209, -160.813, 141.312, 77.0794, 17.7528, -20.1293
25, 0.00000, 7357.76, -33.6528, 7347.2, -153.526, 7366.4, 86.4881, 0.845895, -174.218, 135.197, -42.085, 117.523, -158.712, 127.885, 79.2096, 16.6406, -27.3951
26, 0.00000, 7370.73, -33.4149, 7363.84, -153.323, 7377.42, 86.6821, 0.602348, -171.216, 129.537, -41.0816, 115.568, -158.199, 124.685, 79.8721, 13.3609, -23.3734
27, 0.00000, 7383.59, -33.2265, 7374.02, -153.085, 7394.39, 86.9152, 0.880217, -168, 136.665, -41.961, 123.152, -159.422, 131.127, 79.0253, 12.7574, -27.7234
28, 0.00000, 7393.28, -33.0869, 7382.83, -152.979, 7399.98, 87.0426, 0.751756, -176.685, 130.415, -40.9744, 117.692, -158.357, 124.877, 80.1055, 12.069, -29.2857
29, 0.00000, 7396.72, -33.0313, 7386.14, -152.93, 7402.69, 87.0959, 0.728427, -177.975, 131.078, -41.0227, 120.141, -158.781, 128.155, 79.6123, 10.5848, -19.0912
30, 0.00000, 7402.22, -32.955, 7390.67, -152.896, 7403.14, 87.1564, 0.605682, 166.097, 130.293, -40.8567, 121.232, -158.965, 128.477, 79.6073, 8.89443, -15.5167
31, 0.00000, 7388.35, -33.1359, 7379.86, -153.049, 7393.73, 86.9692, 0.616656, -177.049, 143.44, -42.7528, 130.28, -160.548, 138.42, 78.0559, 12.3428, -25.6118
32, 0.00000, 7369.14, -33.3347, 7370.85, -153.206, 7383.86, 86.722, 0.688895, -136.445, 148.367, -43.4943, 131.552, -160.877, 141.168, 77.4931, 15.7549, -28.0017
33, 0.00000, 7343.96, -33.7368, 7345.02, -153.664, 7352.27, 86.2946, 0.407393, -139.113, 157.348, -44.7318, 138.617, -162.194, 152.533, 75.8712, 17.8168, -17.0019
34, 0.00000, 7323.3, -34.0574, 7324.33, -153.992, 7330.75, 85.9702, 0.369577, -140.369, 163.097, -45.5182, 142.526, -162.934, 157.521, 75.1264, 19.3988, -17.8652
35, 0.00000, 7297.41, -34.4639, 7298.06, -154.431, 7301.19, 85.5492, 0.205086, -144.839, 162.494, -45.7333, 141.965, -163.162, 157.948, 74.807, 19.599, -14.9484
36, 0.00000, 7274.79, -34.8492, 7271.27, -154.794, 7279, 85.2052, 0.3775, -172.284, 163.903, -46.1378, 142.265, -163.446, 158.071, 74.5571, 20.3123, -18.2083
37, 0.00000, 7252.63, -35.1964, 7248.13, -155.16, 7254.36, 84.855, 0.331653, 171.389, 162.4, -46.2505, 137.601, -163.091, 154.128, 74.7261, 22.9445, -22.1484
38, 0.00000, 7230.32, -35.5052, 7227.85, -155.488, 7231.03, 84.5221, 0.199272, 169.006, 168.034, -46.9534, 144.432, -164.192, 162.282, 73.6987, 22.2175, -16.7056
39, 0.00000, 7208.22, -35.7784, 7211.29, -155.722, 7215.61, 84.2301, 0.338113, -130.114, 169.88, -47.2941, 142.6, -164.128, 161.957, 73.5246, 25.4574, -19.5709
40, 0.00000, 7197.09, -35.9379, 7200.96, -155.988, 7193.69, 84.0087, 0.248272, 9.24545, 166.771, -47.1427, 137.911, -163.716, 155.812, 74.0046, 26.4517, -24.9114
41, 0.00000, 7184.99, -36.0904, 7192.12, -156.101, 7187.21, 83.8534, 0.259331, -49.2621, 154.247, -46.0379, 128.733, -162.475, 147.559, 74.7762, 24.2257, -17.8117
42, 0.00000, 7189.36, -36.0233, 7196.57, -156.068, 7188.01, 83.9017, 0.328025, -16.2061, 158.803, -46.4487, 131.981, -162.939, 149.864, 74.5637, 24.953, -22.0246
43, 0.00000, 7205.28, -35.8838, 7202.38, -155.932, 7198.86, 84.1118, 0.264893, 75.1701, 162.473, -46.7108, 137.516, -163.609, 155.272, 74.1326, 23.248, -19.3812
44, 0.00000, 7221.86, -35.6935, 7213.82, -155.761, 7211.01, 84.3286, 0.485854, 88.3734, 156.425, -46.006, 132.848, -162.836, 149.399, 74.9113, 21.928, -19.974
45, 0.00000, 7224.57, -35.6652, 7214.92, -155.695, 7216.93, 84.3882, 0.461941, 113.931, 160.949, -46.422, 137.13, -163.381, 154.572, 74.3903, 22.2519, -18.1912
46, 0.00000, 7244.39, -35.3552, 7237.29, -155.334, 7243.34, 84.707, 0.374733, 152.008, 146.99, -44.755, 126.026, -161.493, 142.034, 76.0113, 20.0264, -16.4594
47, 0.00000, 7276.35, -34.8756, 7269.1, -154.843, 7276.46, 85.1934, 0.408273, 158.918, 148.402, -44.5868, 127.343, -161.359, 139.452, 76.6789, 19.4594, -28.1487
48, 0.00000, 7299.62, -34.4985, 7295.02, -154.48, 7299.47, 85.5441, 0.270995, 158.449, 143.247, -43.7264, 123.418, -160.47, 136.013, 77.3724, 18.5415, -24.03
49, 0.00000, 7323.23, -34.1422, 7318.5, -154.095, 7326.12, 85.9166, 0.36852, 178.938, 133.072, -42.1366, 115.203, -158.686, 125.766, 79.1551, 16.8467, -26.9377
50, 0.00000, 7344.25, -33.835, 7337.75, -153.786, 7346.51, 86.2368, 0.424986, 173.181, 128.352, -41.2171, 111.79, -157.76, 121.712, 80.0651, 15.7176, -26.4348
51, 0.00000, 7356.39, -33.6217, 7352.22, -153.55, 7362.14, 86.4455, 0.452946, -167.57, 125.154, -40.5607, 109.311, -157.059, 118.225, 80.8349, 15.1129, -28.7687
52, 0.00000, 7367.89, -33.4965, 7358.29, -153.427, 7370.84, 86.6073, 0.587272, 173.035, 121.761, -39.8995, 107.55, -156.563, 116.104, 81.3559, 13.6238, -26.5741
53, 0.00000, 7370.96, -33.4047, 7365.86, -153.311, 7378.67, 86.6807, 0.571088, -164.414, 116.277, -38.8188, 103.45, -155.489, 112.375, 82.1529, 12.6332, -20.7927
54, 0.00000, 7375.53, -33.3291, 7370.69, -153.263, 7380.36, 86.7397, 0.439921, -171.572, 119.234, -39.3289, 105.025, -155.847, 113.59, 81.9485, 13.724, -26.2501
55, 0.00000, 7369.46, -33.3821, 7368.37, -153.292, 7378.69, 86.6736, 0.500281, -147.515, 121.647, -39.7754, 109.96, -157.026, 119.745, 80.7081, 11.8709, -12.5135
56, 0.00000, 7352.23, -33.648, 7351.14, -153.538, 7363.6, 86.4183, 0.603653, -148.315, 133.487, -41.8535, 114.776, -158.209, 124.391, 79.7177, 17.6871, -31.6479
57, 0.00000, 7325.29, -34.0396, 7326.64, -153.919, 7338.82, 86.0151, 0.653804, -139.526, 141.089, -43.1576, 119.82, -159.458, 134.332, 77.8883, 20.2326, -20.8733
