Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.SUB1,    138.596,    60.18,    44.13,    25509.4,    8042.35, 0, 0, 3, 66.4 
Transformer.SUB2,    138.596,    60.18,    44.13,    25509.4,    8042.35, 0, 0, 3, 66.4 
Transformer.SUB3,    138.596,    60.18,    44.13,    25509.4,    8042.35, 0, 0, 3, 66.4 
Line.326,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 7.2 
Line.333,    276.938,    46.16,    46.16,    5518.11,    440.327, 0, 867, 3, 7.2 
Line.335,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 7.2 
Line.150394,    2.58458,     0.52,     0.47,   -48.7267,    -23.217, 0, 3, 3, 7.2 
Line.157109,    273.333,    42.91,    39.05,    5440.02,    393.572, 0, 861, 3, 7.2 
Line.157115,    273.333,    42.91,    39.05,    5419.58,    363.725, 0, 860, 3, 7.2 
Line.157116,  0.0462287,     0.03,     0.02,   0.109017,   0.301471, 0, 0, 3, 7.2 
Line.157118,    21.6207,    13.51,    11.38,    404.934,    191.977, 0, 189, 3, 7.2 
Line.157119,    273.314,    42.91,    39.04,    5404.06,    333.167, 0, 859, 3, 7.2 
Line.157120,    20.2739,    12.67,    10.67,     380.35,    180.371, 0, 180, 3, 7.2 
Line.157121,    5.16162,     1.03,     0.94,   -97.0756,   -45.6306, 0, 3, 3, 7.2 
Line.157122,    13.7781,     8.61,     7.25,    258.613,      123.1, 0, 171, 3, 7.2 
Line.157123,    5.16162,     2.41,     2.20,    97.0756,    45.6306, 0, 3, 3, 7.2 
Line.157124,     16.391,     3.28,     2.98,   -307.997,   -145.869, 0, 12, 3, 7.2 
Line.157126,     16.391,     7.66,     6.97,    307.997,    145.869, 0, 12, 3, 7.2 
Line.157127,    13.8075,     6.45,     5.88,    259.418,    122.906, 0, 9, 3, 7.2 
Line.157128,    13.7661,     6.43,     5.86,    259.024,     121.44, 0, 9, 3, 7.2 
Line.157129,    8.60175,     4.02,     3.66,    162.019,    75.4189, 0, 3, 3, 7.2 
Line.157130,    5.16441,     2.41,     2.20,   -96.9735,   -45.9966, 0, 6, 3, 7.2 
Line.157131,  0.0683683,     0.03,     0.03,   0.296077,    1.39004, 0, 0, 3, 7.2 
Line.157132,    238.343,   148.96,   125.44,    4664.57,   -22.6633, 0, 657, 3, 7.2 
Line.157133,    237.196,    37.24,    33.89,    4648.48,   -30.4565, 0, 656, 3, 7.2 
Line.157136,    12.8903,     2.58,     2.34,    243.115,    111.169, 0, 3, 3, 7.2 
Line.157137,    12.8903,     6.02,     5.49,   -243.103,   -111.159, 0, 3, 3, 7.2 
